Issue code,Issue name,Close,Change,%Change,Open,High,Low,Trading volume,Trading value,Market cap.,No.of listed shares
"004560","HYUNDAI BNG STEEL","12200","-90","-0.73","12230","12310","12060","26933","328113450","183961494200","15078811"
"011760","HYUNDAI CORP","23150","-300","-1.28","23550","23650","22950","50894","1182863850","306250562900","13228966"
"227840","HYUNDAI CORPORATION HOLDINGS","12890","160","1.26","12730","12920","12640","12619","160529750","117309776040","9100836"
"005440","HYUNDAI G.F. HOLDINGS","7730","-170","-2.15","8000","8000","7660","305312","2359401580","1205140246730","155904301"
"064350","HYUNDAI ROTEM","179700","-1400","-0.77","180200","181700","177800","620655","111864469200","19612870052100","109142293"
"004020","HYUNDAI STEEL","33000","-500","-1.49","33500","33800","32800","573960","19000116750","4403710905000","133445785"
"011210","HYUNDAI WIA","50600","750","1.50","50200","52700","49700","175177","8985153150","1376071199800","27195083"
"069960","HYUNDAIDEPTST","72700","1200","1.68","72100","72900","71300","46891","3383413600","1645114705100","22628813"
"086280","HYUNDAIGLOVIS","177300","3500","2.01","174100","180000","174000","262927","46715399800","13297500000000","75000000"
"453340","HYUNDAIGREENFOOD","16130","-190","-1.16","16330","16420","16000","29630","479153980","534476260200","33135540"
"057050","HYUNDAIHOMESHOP","53100","-200","-0.38","53300","54000","52800","8816","469930400","637200000000","12000000"
"079430","HYUNDAILIVART","7420","-130","-1.72","7400","7590","7400","48043","359096025","152371792440","20535282"
"093240","HYUNGJI ELITE","2890","-75","-2.53","3000","3000","2820","593898","1714866992","110947848510","38390259"
"003010","HaeinCorp","5310","-20","-0.38","5330","5450","5270","83766","446253620","67504686570","12712747"
"101530","Haitai Confectionery","6850","-10","-0.15","6840","6930","6820","15544","106735160","199450230700","29116822"
"014130","HanExpress","3330","15","0.45","3310","3345","3310","21425","71242360","39960000000","12000000"
"293480","Hana Pharm","11900","-20","-0.17","11940","12030","11860","5383","64132160","211498057400","17772946"
"005110","Hanchang","1254","0","0.00","0","0","0","0","0","26467434378","21106407"
"009460","HanchangPaper","691","17","2.52","683","691","675","87383","59750393","41230232826","59667486"
"014680","Hanchem","171600","-4400","-2.50","178600","178700","166600","66720","11416725500","1945119462000","11335195"
"372910","Hancom Lifecare","2850","-35","-1.21","2860","2890","2835","101112","288205194","78872057100","27674406"
"020000","Handsome","15090","-90","-0.59","15210","15230","15060","38725","585617115","338585602230","22437747"
"002220","HanilIron&Stl","2845","-10","-0.35","2785","2900","2785","36876","104327380","75954273700","26697460"
"002320","HanjinTrnspt","20750","-250","-1.19","21000","21050","20650","16381","340589900","316126457500","15235010"
"002960","HankookShellOil","442000","-1000","-0.23","443500","448000","441000","1452","645440000","574600000000","1300000"
"025890","HankookSteel","1885","8","0.43","1860","1908","1860","9613","18056875","21317953215","11309259"
"027970","Hankuk Paper","815","-3","-0.37","821","821","815","33007","26942844","154995263155","190178237"
"017960","HankukCarbon","30550","-400","-1.29","31000","31100","29500","570098","17357740350","1585803208600","51908452"
"008930","Hanmi Science","41850","-300","-0.71","41900","43500","41850","200482","8486199875","2862186367500","68391550"
"053690","HanmiGlobal","20800","350","1.71","20450","20900","20100","145986","3014330200","227917040000","10957550"
"128940","HanmiPharm","279500","-2000","-0.71","283500","289500","279500","95168","26902479500","3580671984500","12810991"
"018880","Hanon Systems","3160","-580","-15.51","3745","3990","3160","14529978","50462453493","2144889664320","678762552"
"105630","Hansae","10190","-50","-0.49","10270","10360","10180","76858","786944960","407600000000","40000000"
